id,badgegeber_id,name,deklarierte_funktion,infocubeAPI,infocube_id,infoCubeDiff,noga,bemerkungen,,rote_flagge
215,215,Ulber Marcus,Pro Natura,0,p21001303348,,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,
461,215,Liner Marcel,Pro Natura,5593769,,,,,,
216,216,Verrey Etiennette J.,Commission fédérale pour les questions féminines,0,5313040,,,,,
462,216,Oberbeck Simon,JDC Suisse,6525747,6525747,,,,,
217,217,Sauvain Mélanie ,Entraide Suisse Handicap AGILE,0,,,,Sekretärin AGILE seit 2009: http://www.agile.ch/news-fr&getDoc=580,,
463,217,Niggli Peter,Alliance Sud,358471,970677,,,Geschäftsleiter seit 1998: http://www.northsouth.ethz.ch/news/past_events/forum3/Peter_Niggli_CV.pdf,,
218,218,Alf Arnold,Verein Alpen-Initiative,1123261,5751781,,,"Geschäftsführer Alpeninitiative, 
Grüne Uri, VCS Uri, etc.
http://www.gruene-uri.ch/landrat-2012-2016/alf-arnold/",,
464,218,Rey Alfred,Schweizer Paraplegiker-Vereinigung,395099,4663719,,,"Leiter Public Affairs;
Gleichzeitig Bundeshauskorrespondent des Walliser Boten: http://www.fmef.ch/docs/1ollo_wb.pdf",,
219,219,Miescher Alex,SPORT/SFV,,6897508,,,"Schweizerischer Fussballverband (Generalsekretär), Kampfpilot, FDP-Politiker in Solothurn, www.alxmiescher.ch",,
465,219,Grichting Thomas J.,Krankenversicherer GROUPE MUTUEL,,6522394,,,"CEO Groupe Mutuel, 
Allianz Schweizerischer Krankenversicherer,
Schweizerischer Versicherungsverband",,
220,220,Kummer Matthias,Vereinigung Schweiz. Privatbanquiers,,731886,,,"Fürsprecher und Lobbyist, Kummer Public Affairs, http://books.google.ch/books?id=pJvt2MY_e08C&pg=PA225&lpg=PA225&dq=Vereinigung+Schweizerischer+privatbanquiers+Matthias+Kummer&source=bl&ots=_ZiodvakLA&sig=b9WzTM83iW_fdVrRUqfBW5mUWjw&hl=de&sa=X&ei=MDlMUdvPGKGO7AaEwYGgAg&ved=0CDAQ6AEwAA#v=onepage&q=Vereinigung%20Schweizerischer%20privatbanquiers%20Matthias%20Kummer&f=false",,
466,220,Buholzer René,Credit Suisse,,4931043,,,"CS: Leiter Public Affairs
ICC: Vorstand http://www.icc-switzerland.ch/de/icc-schweiz/vorstand
Young Leaders Alumni Foundation
Dr. Heinrich Wachter Stiftung",,
221,221,Merkli Christoph,Pro Velo Schweiz,,6879792,,,"Geschäftsführer Pro Velo Schweiz, http://www.pro-velo.ch/pro-velo/geschaeftsstelle/team/
Verein Velojournal",,
467,221,Ziltener Erika,Dachverband Schweizerischer Patientenstellen,,872550,,,Präsidentin des Daverbands: http://www.patientenstelle.ch/de/ueber-uns,,
222,222,Perron Louis,Perron Campaigns,,,,,www.perroncampaigns.ch/,,
468,222,0,0,,0,,,0,,0
223,223,0,0,,0,,,0,,0
469,223,0,0,,0,,,0,,0
224,224,Schwarz Johannes,Persönlicher Mitarbeiter,,,,,,,
470,224,Saxenhofer Peter,INSOS Schweiz,,729397,,,"""INSOS Schweiz"", Geschäftsführer, http://www.insos.ch/verband/geschaeftsstellen/mitarbeitende/
Ex-Geschäfsleiter VCS Schweiz, http://www.verkehrsclub.ch/de/online/medien/medienmitteilungen.html?tx_frpredakartikel_pi3_detail=7772",,
225,225,0,0,,0,,,0,,0
471,225,0,0,,0,,,0,,0
226,226,Graf Manuel,WWF Schweiz,,,,,,,
472,226,Koch Anne,Greenpeace,,,,,,,
227,227,Chiavaroli Danielle ,Persönliche Mitarbeiterin,,,,,,,
473,227,Byland Karin,Persönliche Mitarbeiterin,,,,,,,
228,228,Lampart Daniel,SGB-Sekretariatsleiter und Chefökonom,,,,,,,
474,228,0,0,,0,,,0,,0
229,229,Hayoz Barbara,Gast,,880283,,,Ex-Gemeinderätin der Stadt Bern http://www.bernerzeitung.ch/region/bern/Barbara-Hayoz-bleibt-im-StabeVerwaltungsrat/story/18563957,,
475,229,Langenegger Walter,Stadtverwaltung Bern,,,,,,,
230,230,Henseler Pfyl Nathalie,Büro für Sprache und Politik,,,,,,,
476,230,Durrer Urs,Amt für Wirtschaft des Kantons Schwyz,,,,,,,
231,231,Frund Vinciane ,Médecins de famille Suisse,0,,,,,,
477,231,Michaud Gigon Sophie,Pro Natura,6702969,6702969,,,,,
